Group,zooplankton,zoobenthos,mollusc,shrimp,silvercarp,bighead,grasscarp,crucian,bream,culter,mandarin,catfish,sturgeon,waterbird
detritus,0.2,0.6,0.5,0.4,0,0,0,0.3,0.3,0,0,0,0,0
phyto,0.8,0.2,0.5,0,0.7,0.3,0,0,0,0,0,0,0,0
macrophyte,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0
periphyton,0,0.2,0,0.3,0,0,0.2,0,0.2,0,0,0,0,0
zooplankton,0,0,0,0.3,0.3,0.7,0,0.2,0,0,0,0,0,0
zoobenthos,0,0,0,0,0,0,0,0.3,0.5,0,0,0.2,0.4,0
mollusc,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.3,0
shrimp,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0
silvercarp,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
bighead,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
grasscarp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crucian,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0,0.3
bream,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0.3
culter,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
mandarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
catfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sturgeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waterbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0
