Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,detritus
detritus,2,40,NA,NA,NA,NA,0,0,0,0
phyto,1,30,150,NA,NA,NA,0,0,NA,1
macrophyte,1,20,8,NA,NA,NA,0,0,NA,1
periphyton,1,8,60,NA,NA,NA,0,0,NA,1
zooplankton,0,14,30,120,NA,NA,0,0.2,NA,1
zoobenthos,0,12,4,15,NA,NA,0,0.2,NA,1
mollusc,0,10,3.5,14,NA,NA,0,0.2,NA,1
shrimp,0,6,6,25,NA,NA,0,0.2,NA,1
silvercarp,0,18,1.2,12,NA,NA,0,0.2,NA,1
bighead,0,12,1.1,11,NA,NA,0,0.2,NA,1
grasscarp,0,8,1,20,NA,NA,0,0.2,NA,1
crucian,0,10,1.1,10,NA,NA,0,0.2,NA,1
bream,0,6,1.2,11,NA,NA,0,0.2,NA,1
culter,0,4,0.7,6,NA,NA,0,0.2,NA,1
mandarin,0,3,0.65,6,NA,NA,0,0.2,NA,1
catfish,0,3,0.6,5.5,NA,NA,0,0.2,NA,1
sturgeon,0,1.2,0.3,4,NA,NA,0,0.2,NA,1
waterbird,0,0.8,0.2,80,NA,NA,0,0.2,NA,1
